game_id,date,home_team,away_team,home_score,away_score,neutral_site,conference_game,home_conference,away_conference,spread_home,spread_away,num_bookmakers,commence_time,date_diff_hours,actual_margin,margin_vs_spread,home_covered,away_covered
209827,2025-11-08 21:30:00+00:00,virginia tech,providence,107,101,True,False,ACC,Big East,-1.0,1.0,10,2025-11-08 21:00:00+00:00,0.5,6,5.0,1.0,0.0
212968,2025-11-08 22:00:00+00:00,stony brook,maine,71,60,False,False,CAA,Am. East,-5.5,5.5,5,2025-11-08 22:00:00+00:00,0.0,11,5.5,1.0,0.0
212945,2025-11-08 23:00:00+00:00,charleston,florida atlantic,77,94,True,False,CAA,American,-4.5,4.5,9,2025-11-08 23:00:00+00:00,0.0,-17,-21.5,0.0,1.0
209830,2025-11-08 23:00:00+00:00,richmond,east carolina,87,72,False,False,A-10,American,-6.5,6.5,8,2025-11-08 23:00:00+00:00,0.0,15,8.5,1.0,0.0
212971,2025-11-09 00:00:00+00:00,utah,weber state,92,89,False,False,Big 12,Big Sky,-16.5,16.5,9,2025-11-09 00:00:00+00:00,0.0,3,-13.5,0.0,1.0
212956,2025-11-09 01:00:00+00:00,bradley,central michigan,85,54,False,False,MVC,MAC,-9.5,9.5,8,2025-11-09 01:00:00+00:00,0.0,31,21.5,1.0,0.0
212985,2025-11-09 01:30:00+00:00,southern utah,ut rio grande valley,72,95,False,False,WAC,Southland,1.0,-1.0,8,2025-11-09 01:30:00+00:00,0.0,-23,-22.0,0.0,1.0
212986,2025-11-09 02:00:00+00:00,loyola marymount,arkansas-pine bluff,94,72,False,False,WCC,SWAC,-19.5,19.5,5,2025-11-09 02:00:00+00:00,0.0,22,2.5,1.0,0.0
209835,2025-11-09 02:00:00+00:00,byu,holy cross,98,53,False,False,Big 12,Patriot,-36.5,36.5,6,2025-11-09 02:00:00+00:00,0.0,45,8.5,1.0,0.0
212970,2025-11-09 02:00:00+00:00,unlv,chattanooga,101,69,False,False,Mountain West,SoCon,-5.5,5.5,9,2025-11-09 02:00:00+00:00,0.0,32,26.5,1.0,0.0
212951,2025-11-09 03:00:00+00:00,nevada,pacific,78,77,False,False,Mountain West,WCC,-11.0,11.0,9,2025-11-09 03:00:00+00:00,0.0,1,-10.0,0.0,1.0
212987,2025-11-09 03:00:00+00:00,uc san diego,houston christian,78,60,False,False,Big West,Southland,-8.5,8.5,5,2025-11-09 03:00:00+00:00,0.0,18,9.5,1.0,0.0
212952,2025-11-09 03:30:00+00:00,gonzaga,oklahoma,83,68,False,False,WCC,SEC,-10.0,10.0,12,2025-11-09 03:30:00+00:00,0.0,15,5.0,1.0,0.0
