today,prior,src,level,level_price,first_touch_ts,first_touch_hour,px_at_touch,react_close_60m,react_mfe,react_mae,reversed
2025-10-23,2025-10-21,1h,L25,25236.8125,2025-10-23 12:43:00-04:00,12,25222.5,25261.25,52.0,-33.0,True
2025-10-23,2025-10-21,1h,L50,25259.875,2025-10-23 13:37:00-04:00,13,25253.0,25262.75,35.25,-7.5,True
2025-10-23,2025-10-21,1h,L75,25282.9375,2025-10-23 13:47:00-04:00,13,25267.75,25257.0,20.5,-22.25,True
2025-10-23,2025-10-21,5m,L0,25219.25,2025-10-23 11:56:00-04:00,11,25213.0,25235.5,26.0,-28.5,True
2025-10-23,2025-10-21,5m,L25,25230.0,2025-10-23 12:15:00-04:00,12,25223.75,25234.0,23.25,-39.25,True
2025-10-23,2025-10-21,5m,L50,25240.75,2025-10-23 12:53:00-04:00,12,25234.75,25277.75,45.25,-45.25,True
2025-10-23,2025-10-21,5m,L75,25251.5,2025-10-23 13:01:00-04:00,13,25245.0,25266.5,38.5,-55.5,False
2025-10-23,2025-10-21,5m,L100,25262.25,2025-10-23 13:38:00-04:00,13,25262.75,25264.0,25.5,-17.25,False
2025-10-23,2025-10-22,1h,L0,25172.75,2025-10-23 10:00:00-04:00,10,25140.5,25193.0,58.75,-56.75,True
2025-10-23,2025-10-22,1h,L25,25201.9375,2025-10-23 10:49:00-04:00,10,25195.0,25167.25,14.5,-75.5,False
2025-10-23,2025-10-22,1h,L50,25231.125,2025-10-23 12:15:00-04:00,12,25223.75,25234.0,23.25,-39.25,True
2025-10-23,2025-10-22,1h,L75,25260.3125,2025-10-23 13:38:00-04:00,13,25262.75,25264.0,25.5,-17.25,False
2025-10-23,2025-10-22,1h,L100,25289.5,2025-10-23 14:30:00-04:00,14,25276.5,25269.0,11.75,-22.25,True
2025-10-23,2025-10-22,5m,L0,25235.75,2025-10-23 12:43:00-04:00,12,25222.5,25261.25,52.0,-33.0,True
2025-10-23,2025-10-22,5m,L25,25242.1875,2025-10-23 12:54:00-04:00,12,25236.75,25280.25,44.25,-47.25,True
2025-10-23,2025-10-22,5m,L50,25248.625,2025-10-23 13:01:00-04:00,13,25245.0,25266.5,38.5,-55.5,True
2025-10-23,2025-10-22,5m,L75,25255.0625,2025-10-23 13:36:00-04:00,13,25251.5,25265.75,36.75,-15.5,False
2025-10-23,2025-10-22,5m,L100,25261.5,2025-10-23 13:38:00-04:00,13,25262.75,25264.0,25.5,-17.25,False
2025-10-29,2025-10-28,1h,L50,26051.375,2025-10-29 14:41:00-04:00,14,26070.25,26192.25,171.75,-22.75,True
2025-10-29,2025-10-28,1h,L75,26072.6875,2025-10-29 14:39:00-04:00,14,26081.75,26210.5,160.25,-34.25,False
2025-10-29,2025-10-28,1h,L100,26094.0,2025-10-29 14:39:00-04:00,14,26081.75,26210.5,160.25,-34.25,False
2025-10-29,2025-10-28,5m,L25,26047.9375,2025-10-29 14:41:00-04:00,14,26070.25,26192.25,171.75,-22.75,True
2025-10-29,2025-10-28,5m,L50,26058.875,2025-10-29 14:40:00-04:00,14,26086.75,26199.0,155.25,-39.25,True
2025-10-29,2025-10-28,5m,L75,26069.8125,2025-10-29 14:40:00-04:00,14,26086.75,26199.0,155.25,-39.25,False
2025-10-29,2025-10-28,5m,L100,26080.75,2025-10-29 14:39:00-04:00,14,26081.75,26210.5,160.25,-34.25,False
